order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at,unit_price
1,53,746,224.0,2,cash,2017-03-13 12:36:56,112.0
2,92,925,90.0,1,cash,2017-03-03 17:38:52,90.0
3,44,861,144.0,1,cash,2017-03-14 04:23:56,144.0
4,18,935,156.0,1,credit_card,2017-03-26 12:43:37,156.0
5,18,883,156.0,1,credit_card,2017-03-01 04:35:11,156.0
6,58,882,138.0,1,credit_card,2017-03-14 15:25:01,138.0
7,87,915,149.0,1,cash,2017-03-01 21:37:57,149.0
8,22,761,292.0,2,cash,2017-03-08 02:05:38,146.0
9,64,914,266.0,2,debit,2017-03-17 20:56:50,133.0
10,52,788,146.0,1,credit_card,2017-03-30 21:08:26,146.0
11,66,848,322.0,2,credit_card,2017-03-26 23:36:40,161.0
12,40,983,322.0,2,debit,2017-03-12 17:58:30,161.0
13,54,799,266.0,2,credit_card,2017-03-16 14:15:34,133.0
14,100,709,111.0,1,cash,2017-03-22 02:39:49,111.0
15,87,849,447.0,3,credit_card,2017-03-10 11:23:18,149.0
16,42,607,704.0,2,credit_card,2017-03-07 04:00:00,352.0
17,17,731,176.0,1,cash,2017-03-21 04:23:38,176.0
18,28,752,164.0,1,credit_card,2017-03-21 12:09:07,164.0
19,83,761,258.0,2,cash,2017-03-17 13:18:47,129.0
20,63,898,408.0,3,credit_card,2017-03-29 15:11:52,136.0
21,66,987,322.0,2,cash,2017-03-30 20:11:59,161.0
22,97,789,486.0,3,credit_card,2017-03-04 15:44:00,162.0
23,88,985,704.0,4,credit_card,2017-03-22 01:19:41,176.0
24,75,964,256.0,2,credit_card,2017-03-12 03:07:42,128.0
25,73,917,495.0,3,cash,2017-03-03 13:01:03,165.0
26,82,848,177.0,1,cash,2017-03-25 21:35:12,177.0
27,47,882,145.0,1,cash,2017-03-22 07:38:43,145.0
28,53,942,112.0,1,credit_card,2017-03-17 09:41:53,112.0
29,40,944,322.0,2,cash,2017-03-05 02:12:53,161.0
30,59,790,178.0,1,credit_card,2017-03-04 22:49:28,178.0
31,76,857,310.0,2,cash,2017-03-23 21:34:39,155.0
32,57,839,294.0,2,debit,2017-03-19 05:31:45,147.0
33,76,712,465.0,3,credit_card,2017-03-10 23:54:10,155.0
34,7,800,224.0,2,credit_card,2017-03-03 05:31:15,112.0
35,34,704,244.0,2,debit,2017-03-13 00:00:44,122.0
36,61,781,316.0,2,cash,2017-03-08 15:57:42,158.0
37,84,979,459.0,3,credit_card,2017-03-05 22:44:34,153.0
38,66,961,322.0,2,credit_card,2017-03-14 06:04:23,161.0
39,10,921,148.0,1,credit_card,2017-03-06 05:51:08,148.0
40,61,756,316.0,2,credit_card,2017-03-07 17:03:29,158.0
41,42,793,352.0,1,credit_card,2017-03-24 14:15:41,352.0
42,1,847,316.0,2,debit,2017-03-20 14:58:02,158.0
43,18,934,624.0,4,debit,2017-03-21 06:59:10,156.0
44,21,792,284.0,2,credit_card,2017-03-08 04:16:53,142.0
45,99,759,195.0,1,credit_card,2017-03-02 08:13:24,195.0
46,29,969,652.0,4,credit_card,2017-03-04 08:58:23,163.0
47,33,954,346.0,2,cash,2017-03-25 14:18:33,173.0
48,52,791,438.0,3,cash,2017-03-05 15:50:51,146.0
49,3,714,296.0,2,debit,2017-03-20 16:48:03,148.0
50,64,768,399.0,3,debit,2017-03-02 17:26:07,133.0
51,58,984,276.0,2,debit,2017-03-23 07:05:31,138.0
52,81,959,531.0,3,cash,2017-03-25 22:58:11,177.0
53,30,968,459.0,3,cash,2017-03-28 08:15:20,153.0
54,33,842,692.0,4,debit,2017-03-08 07:36:34,173.0
55,79,823,181.0,1,cash,2017-03-25 04:47:17,181.0
56,51,851,561.0,3,credit_card,2017-03-13 05:05:25,187.0
57,53,739,560.0,5,credit_card,2017-03-18 08:45:21,112.0
58,51,759,187.0,1,cash,2017-03-30 22:34:47,187.0
59,47,837,145.0,1,credit_card,2017-03-13 06:35:07,145.0
60,80,908,145.0,1,debit,2017-03-27 09:03:35,145.0
61,42,607,704.0,2,credit_card,2017-03-04 04:00:00,352.0
62,60,720,531.0,3,debit,2017-03-21 18:08:34,177.0
63,86,981,260.0,2,debit,2017-03-24 06:11:03,130.0
64,91,962,160.0,1,debit,2017-03-01 19:05:37,160.0
65,72,887,480.0,3,credit_card,2017-03-02 00:15:05,160.0
66,7,988,112.0,1,debit,2017-03-29 10:22:34,112.0
67,66,743,322.0,2,cash,2017-03-01 10:40:40,161.0
68,21,812,284.0,2,debit,2017-03-03 15:52:53,142.0
69,86,994,390.0,3,credit_card,2017-03-21 22:05:37,130.0
70,58,876,138.0,1,debit,2017-03-04 10:38:49,138.0
71,11,725,184.0,1,credit_card,2017-03-14 17:12:18,184.0
72,34,813,122.0,1,credit_card,2017-03-20 17:43:28,122.0
73,86,960,130.0,1,debit,2017-03-04 14:15:34,130.0
74,14,968,116.0,1,cash,2017-03-22 00:14:48,116.0
75,5,862,142.0,1,credit_card,2017-03-26 09:14:45,142.0
76,84,744,459.0,3,cash,2017-03-06 00:39:27,153.0
77,20,975,127.0,1,cash,2017-03-19 13:05:29,127.0
78,41,985,354.0,3,cash,2017-03-22 13:41:25,118.0
79,8,806,132.0,1,credit_card,2017-03-27 03:39:39,132.0
80,20,838,254.0,2,credit_card,2017-03-03 14:00:25,127.0
81,52,979,584.0,4,credit_card,2017-03-11 14:30:09,146.0
82,28,868,328.0,2,debit,2017-03-04 06:53:29,164.0
83,48,857,234.0,2,cash,2017-03-11 18:14:37,117.0
84,100,817,111.0,1,cash,2017-03-12 22:10:47,111.0
85,41,707,118.0,1,debit,2017-03-30 12:05:30,118.0
86,53,908,224.0,2,credit_card,2017-03-27 20:46:35,112.0
87,56,711,234.0,2,credit_card,2017-03-17 02:08:47,117.0
88,64,713,399.0,3,credit_card,2017-03-04 12:15:16,133.0
89,55,998,513.0,3,credit_card,2017-03-09 13:22:15,171.0
90,28,705,164.0,1,cash,2017-03-11 18:13:28,164.0
91,50,744,193.0,1,debit,2017-03-02 06:36:55,193.0
92,3,835,296.0,2,credit_card,2017-03-09 04:01:51,148.0
93,22,856,146.0,1,credit_card,2017-03-24 11:47:02,146.0
94,58,810,276.0,2,debit,2017-03-07 04:27:06,138.0
95,87,961,149.0,1,cash,2017-03-21 03:20:50,149.0
96,35,975,328.0,2,credit_card,2017-03-01 06:27:42,164.0
97,70,758,346.0,2,cash,2017-03-07 14:57:54,173.0
98,92,850,180.0,2,cash,2017-03-22 19:21:26,90.0
99,79,741,181.0,1,debit,2017-03-16 00:16:22,181.0
100,18,752,780.0,5,cash,2017-03-06 23:41:16,156.0
101,77,972,156.0,1,credit_card,2017-03-17 06:45:49,156.0
102,74,923,612.0,4,credit_card,2017-03-28 11:00:20,153.0
103,41,964,354.0,3,cash,2017-03-17 07:59:24,118.0
104,53,740,224.0,2,cash,2017-03-17 07:29:30,112.0
105,54,803,532.0,4,cash,2017-03-28 05:30:41,133.0
106,13,746,320.0,2,cash,2017-03-16 15:04:15,160.0
107,87,953,149.0,1,cash,2017-03-17 08:03:52,149.0
108,12,732,201.0,1,credit_card,2017-03-21 20:26:18,201.0
109,58,926,276.0,2,cash,2017-03-01 03:15:13,138.0
110,58,774,414.0,3,cash,2017-03-01 10:01:23,138.0
111,83,893,129.0,1,cash,2017-03-27 07:07:46,129.0
112,68,984,136.0,1,credit_card,2017-03-11 09:43:52,136.0
113,73,885,165.0,1,debit,2017-03-06 00:59:39,165.0
114,69,857,262.0,2,credit_card,2017-03-13 21:33:12,131.0
115,41,755,590.0,5,cash,2017-03-20 23:15:09,118.0
116,25,791,260.0,2,credit_card,2017-03-19 21:46:05,130.0
117,6,813,374.0,2,debit,2017-03-10 14:25:17,187.0
118,61,759,316.0,2,debit,2017-03-29 22:43:35,158.0
119,84,789,153.0,1,credit_card,2017-03-05 04:08:32,153.0
120,98,745,266.0,2,credit_card,2017-03-17 20:34:44,133.0
121,5,774,284.0,2,credit_card,2017-03-26 08:16:47,142.0
122,13,958,480.0,3,credit_card,2017-03-22 13:12:59,160.0
123,35,997,492.0,3,debit,2017-03-05 01:16:57,164.0
124,24,949,280.0,2,cash,2017-03-11 01:58:15,140.0
125,2,983,188.0,2,credit_card,2017-03-13 13:07:20,94.0
126,49,884,258.0,2,cash,2017-03-19 03:22:56,129.0
127,18,839,624.0,4,debit,2017-03-09 10:47:22,156.0
128,77,817,312.0,2,credit_card,2017-03-05 18:46:25,156.0
129,63,963,544.0,4,debit,2017-03-25 05:52:51,136.0
130,51,721,561.0,3,debit,2017-03-14 03:54:02,187.0
131,75,723,256.0,2,debit,2017-03-28 06:01:25,128.0
132,33,777,346.0,2,debit,2017-03-13 18:46:55,173.0
133,53,963,224.0,2,credit_card,2017-03-03 02:32:51,112.0
134,24,894,280.0,2,credit_card,2017-03-08 04:56:53,140.0
135,86,845,390.0,3,cash,2017-03-27 09:54:53,130.0
136,58,742,276.0,2,debit,2017-03-19 17:25:58,138.0
137,15,961,765.0,5,credit_card,2017-03-26 05:06:46,153.0
138,34,760,122.0,1,debit,2017-03-30 17:31:02,122.0
139,5,915,426.0,3,cash,2017-03-28 00:09:50,142.0
140,55,789,513.0,3,debit,2017-03-29 16:36:30,171.0
141,57,930,441.0,3,debit,2017-03-15 12:36:14,147.0
142,73,935,165.0,1,cash,2017-03-26 14:23:28,165.0
143,80,855,145.0,1,debit,2017-03-11 01:13:13,145.0
144,80,979,290.0,2,debit,2017-03-30 10:41:49,145.0
145,21,828,284.0,2,debit,2017-03-18 20:13:36,142.0
146,72,906,640.0,4,cash,2017-03-30 09:55:00,160.0
147,100,899,111.0,1,debit,2017-03-05 16:49:00,111.0
148,57,715,294.0,2,credit_card,2017-03-17 07:01:37,147.0
